RefDes,Type,X (mm),Y (mm),Side,Rotate,Value,Feeder,Code
U2,FDC6301N,7.81,5.54,Top,90,Dual Mosfet,1,7
U7,FDC6301N,7.81,8.71,Top,90,Dual Mosfet,1,7
R1,CAY16-222J4LF,7.99,1.98,Top,90,2K2 x 4,8,3
R6,CAY16-222J4LF,7.99,11.82,Top,90,2K2 x 4,8,3
U2,FDC6301N,23.31,5.54,Top,90,Dual Mosfet,1,7
U7,FDC6301N,23.31,8.71,Top,90,Dual Mosfet,1,7
R1,CAY16-222J4LF,23.49,1.98,Top,90,2K2 x 4,8,3
R6,CAY16-222J4LF,23.49,11.82,Top,90,2K2 x 4,8,3
U2,FDC6301N,38.81,5.54,Top,90,Dual Mosfet,1,7
U7,FDC6301N,38.81,8.71,Top,90,Dual Mosfet,1,7
R1,CAY16-222J4LF,38.99,1.98,Top,90,2K2 x 4,8,3
R6,CAY16-222J4LF,38.99,11.82,Top,90,2K2 x 4,8,3
U2,FDC6301N,54.31,5.54,Top,90,Dual Mosfet,1,7
U7,FDC6301N,54.31,8.71,Top,90,Dual Mosfet,1,7
R1,CAY16-222J4LF,54.49,1.98,Top,90,2K2 x 4,8,3
R6,CAY16-222J4LF,54.49,11.82,Top,90,2K2 x 4,8,3
U2,FDC6301N,69.81,5.54,Top,90,Dual Mosfet,1,7
U7,FDC6301N,69.81,8.71,Top,90,Dual Mosfet,1,7
R1,CAY16-222J4LF,69.99,1.98,Top,90,2K2 x 4,8,3
R6,CAY16-222J4LF,69.99,11.82,Top,90,2K2 x 4,8,3
U2,FDC6301N,7.81,19.14,Top,90,Dual Mosfet,1,7
U7,FDC6301N,7.81,22.31,Top,90,Dual Mosfet,1,7
R1,CAY16-222J4LF,7.99,15.58,Top,90,2K2 x 4,8,3
R6,CAY16-222J4LF,7.99,25.42,Top,90,2K2 x 4,8,3
U2,FDC6301N,23.31,19.14,Top,90,Dual Mosfet,1,7
U7,FDC6301N,23.31,22.31,Top,90,Dual Mosfet,1,7
R1,CAY16-222J4LF,23.49,15.58,Top,90,2K2 x 4,8,3
R6,CAY16-222J4LF,23.49,25.42,Top,90,2K2 x 4,8,3
U2,FDC6301N,38.81,19.14,Top,90,Dual Mosfet,1,7
U7,FDC6301N,38.81,22.31,Top,90,Dual Mosfet,1,7
R1,CAY16-222J4LF,38.99,15.58,Top,90,2K2 x 4,8,3
R6,CAY16-222J4LF,38.99,25.42,Top,90,2K2 x 4,8,3
U2,FDC6301N,54.31,19.14,Top,90,Dual Mosfet,1,7
U7,FDC6301N,54.31,22.31,Top,90,Dual Mosfet,1,7
R1,CAY16-222J4LF,54.49,15.58,Top,90,2K2 x 4,8,3
R6,CAY16-222J4LF,54.49,25.42,Top,90,2K2 x 4,8,3
U2,FDC6301N,69.81,19.14,Top,90,Dual Mosfet,1,7
U7,FDC6301N,69.81,22.31,Top,90,Dual Mosfet,1,7
R1,CAY16-222J4LF,69.99,15.58,Top,90,2K2 x 4,8,3
R6,CAY16-222J4LF,69.99,25.42,Top,90,2K2 x 4,8,3
U2,FDC6301N,7.81,32.74,Top,90,Dual Mosfet,1,7
U7,FDC6301N,7.81,35.91,Top,90,Dual Mosfet,1,7
