RefDes,Type,Y (mm),X (mm),Side,Rotate,Value,Feeder,Code
C1,CAP,18.42,22.91,Top,90,100nF,3,5
C2,CAP,18.42,26.79,Top,90,100nF,3,5
C3,CAP,25.2,21.44,Top,0,100nF,3,5
C4,CAP,32.07,26.79,Top,90,100nF,3,5
C5,CAP,20.91,32.08,Top,0,100nF,3,5
C11,CAP,88.11,22.91,Top,90,100nF,3,5
C12,CAP,88.11,26.79,Top,90,100nF,3,5
C13,CAP,94.89,21.43,Top,0,100nF,3,5
C14,CAP,101.76,26.79,Top,90,100nF,3,5
C15,CAP,90.6,32.07,Top,0,100nF,3,5
U1,MAX3232EID,94.93,26.83,Top,0,MAX3232EID,23,103
C16,CAP,18.42,63.87,Top,90,100nF,3,5
C17,CAP,18.42,67.75,Top,90,100nF,3,5
C18,CAP,25.2,62.4,Top,0,100nF,3,5
C19,CAP,32.07,67.75,Top,90,100nF,3,5
C20,CAP,20.91,73.04,Top,0,100nF,3,5
C21,CAP,88.11,63.87,Top,90,100nF,3,5
C22,CAP,88.11,67.75,Top,90,100nF,3,5
C23,CAP,94.89,62.39,Top,0,100nF,3,5
C24,CAP,101.76,67.75,Top,90,100nF,3,5
C25,CAP,90.6,73.03,Top,0,100nF,3,5
U2,MAX3232EID,94.93,67.79,Top,0,MAX3232EID,23,103
U3,MAX3232EID,25.24,67.8,Top,0,MAX3232EID,23,103
C26,CAP,53.29,63.87,Top,90,100nF,3,5
C27,CAP,53.29,67.75,Top,90,100nF,3,5
C28,CAP,60.07,62.39,Top,0,100nF,3,5
C29,CAP,66.94,67.75,Top,90,100nF,3,5
C30,CAP,55.78,73.03,Top,0,100nF,3,5
U4,MAX3232EID,60.11,67.79,Top,0,MAX3232EID,23,103
U5,MAX3232EID,25.24,26.84,Top,0,MAX3232EID,23,103
C6,CAP,53.29,22.91,Top,90,100nF,3,5
C7,CAP,53.29,26.79,Top,90,100nF,3,5
C8,CAP,60.07,21.43,Top,0,100nF,3,5
C9,CAP,66.94,26.79,Top,90,100nF,3,5
C10,CAP,55.78,32.07,Top,0,100nF,3,5
U6,MAX3232EID,60.11,26.83,Top,0,MAX3232EID,23,103
